year,,population,births,deaths,Solde naturel,Solde migratoire évalué,Ajustement (a)
1982,,55 572 624,823 260,550 724,+ 272 536,+ 60 300,0
1983,,55 905 460,775 441,567 755,+ 207 686,+ 53 029,0
1984,,56 166 175,787 429,550 259,+ 237 170,+ 41 403,0
1985,,56 444 748,796 138,560 393,+ 235 745,+ 39 442,0
1986,,56 719 935,805 543,554 738,+ 250 805,+ 41 528,0
1987,,57 012 268,795 790,535 389,+ 260 401,+ 52 384,0
1988,,57 325 053,800 560,532 527,+ 268 033,+ 66 456,0
1989,,57 659 542,796 101,537 527,+ 258 574,+ 78 285,0
1990,,57 996 401,793 071,534 386,+ 258 685,+ 77 393,- 52 344
1991,,58 280 135,790 078,532 887,+ 257 191,+ 88 397,- 54 486
1992,,58 571 237,774 755,529 814,+ 244 941,+ 89 349,- 53 525
1993,,58 852 002,741 306,540 533,+ 200 773,+ 70 340,- 53 038
1994,,59 070 077,740 774,528 121,+ 212 653,+ 51 301,- 53 454
1995,,59 280 577,759 058,540 313,+ 218 745,+ 42 193,- 54 102
1996,,59 487 413,764 028,544 604,+ 219 425,+ 38 241,- 53 902
1997,,59 691 177,757 384,539 267,+ 218 117,+ 43 279,- 53 226
1998,,59 899 347,767 906,543 409,+ 224 497,+ 50 228,- 51 407
1999,,60 122 665,775 796,547 266,+ 228 530,+ 62 500,+ 94 455
2000,,60 508 150,807 405,540 601,+ 266 804,+ 72 000,+ 94 456
2001,,60 941 410,803 234,541 029,+ 262 205,+ 87 000,+ 94 455
2002,,61 385 070,792 745,545 241,+ 247 504,+ 97 000,+ 94 456
2003,,61 824 030,793 044,562 467,+ 230 577,+ 102 000,+ 94 455
2004,,62 251 062,799 361,519 470,+ 279 891,+ 105 128,+ 94 456
2005,,62 730 537,806 822,538 081,+ 268 741,+ 92 192,+ 94 647
2006,,63 186 117,829 352,526 920,+ 302 432,+ 112 141,0
2007,,63 600 690,818 705,531 162,+ 287 543,+ 73 626,0
2008,,63 961 859,828 404,542 575,+ 285 829,+ 56 812,0
2009,,64 304 500,824 641,548 541,+ 276 100,+ 32 339,0
2010,,64 612 939,832 799,551 218,+ 281 581,+ 38 880,0
2011,,64 933 400,823 394,545 057,+ 278 337,+ 29 504,0
2012,,65 241 241,821 047,569 868,+ 251 179,+ 72 336,0
2013,,65 564 756,811 510,569 236,+ 242 274,+ 100 130,0
2014,inclus Mayotte,66 130 873,818 565,559 293,+ 259 272,+ 32 324,0
2015,,66 422 469,798 948,593 680,+ 205 268,+ 40 238,- 65 330
2016,,66 602 645,783 640,593 865,+ 189 775,+ 65 044,- 82 982
2017,,66 774 482,769 553,606 274,+ 163 279,+ 154 661,- 100 263
2018,,66 992 159,758 590,609 648,+ 148 942,+ 200 506,- 83 625
2019,(p),67 257 982,753 383,613 243,+ 140 140,+ 140 000,- 84 000
2020,(p),67 454 122,735 196,668 922,+ 66 274,+ 140 000,- 34 000
2021,(p),67 626 396,738 000,657 000,+ 81 000,+ 140 000,- 34 000
